ensemble_name,members,weights,oof_auc
weighted__catboost__eng_no_time=0.70__lightgbm__eng_no_time_knn=0.10__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.7000000000000001, 0.1, 0.19999999999999993]",0.7518776969236054
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.45__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.45, 0.0]",0.7518636408923016
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.35__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.35000000000000003, 0.09999999999999992]",0.751815850385869
weighted__catboost__eng_no_time=0.65__lightgbm__eng_no_time_knn=0.15__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.65, 0.15000000000000002, 0.19999999999999996]",0.751776951712455
weighted__catboost__eng_no_time=0.55__lightgbm__eng_no_time_knn=0.30__xgboost__eng_no_time_knn=0.15,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.55, 0.30000000000000004, 0.1499999999999999]",0.7516322550871224
weighted__catboost__eng_no_time=0.60__lightgbm__eng_no_time_knn=0.20__xgboost__eng_no_time_knn=0.20,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.6000000000000001, 0.2, 0.1999999999999999]",0.7516020005633558
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.45__xgboost__eng_no_time_knn=0.05,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.45, 0.04999999999999999]",0.7515311011984098
weighted__catboost__eng_no_time=0.75__lightgbm__eng_no_time_knn=0.00__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.75, 0.0, 0.25]",0.751521032869379
weighted__catboost__eng_no_time=0.70__lightgbm__eng_no_time_knn=0.05__xgboost__eng_no_time_knn=0.25,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.7000000000000001, 0.05, 0.24999999999999994]",0.7514971314240785
equal__catboost__eng_no_time__lightgbm__eng_no_time_knn,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn']","[0.5, 0.5]",0.7514620842270833
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.50__xgboost__eng_no_time_knn=0.00,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.5, 0.0]",0.7514620842270833
weighted__catboost__eng_no_time=0.50__lightgbm__eng_no_time_knn=0.40__xgboost__eng_no_time_knn=0.10,"['catboost__eng_no_time', 'lightgbm__eng_no_time_knn', 'xgboost__eng_no_time_knn']","[0.5, 0.4, 0.09999999999999998]",0.7514608705785655
